"Slug","Title","Video Url","Image","Image:alt","Content","Designer","URL","Year"
"letter-b","Letter ""B""","https://files.epyc.in/videos/b.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/Cq-aAGAvZEk/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==",""
"letter-c","Letter ""C""","https://files.epyc.in/videos/c.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrBkQjQtHcK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-d","Letter ""D""","https://files.epyc.in/videos/d.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrEQHrbvQFa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-e","Letter ""E""","https://files.epyc.in/videos/e.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrGk_QOPZZL/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==",""
"letter-f","Letter ""F""","https://files.epyc.in/videos/f.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrIz8D2vWLB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-g","Letter ""G""","https://files.epyc.in/videos/g.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrLa9iIPxXo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-h","Letter ""H""","","assets/c5w76I0WJ70qGOtT7UkFsFMLpc.png","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrOUwCiPT4p/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-i","Letter ""I""","https://files.epyc.in/videos/i.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrQwRscvlPt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-j","Letter ""J""","https://files.epyc.in/videos/j.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrTdeMatOjb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-k","Letter ""K""","https://files.epyc.in/videos/k.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrV3MWyPzzD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-l","Letter ""L""","https://files.epyc.in/videos/l.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrYkKUsPRJX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-m","Letter ""M""","https://files.epyc.in/videos/m.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrbR0B-P17J/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-n","Letter ""N""","","assets/j9bW5yoSJkzSqx9fJ2CcIHwhEk.png","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/Crd0ww7vxlH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-o","Letter ""O""","https://files.epyc.in/videos/O-1.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrgU-0jv8rs/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-p","Letter ""P""","https://files.epyc.in/videos/P-Post_1.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/Cri9bLOvBt5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"letter-q","Letter ""Q""","https://files.epyc.in/videos/Q-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CrliyXxvMGQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
